,grape_type,type,centrality
25,n-1&n+1,right_kstz,"[('bankruptcy', 0.2594), ('debtor', 0.1776), ('case', 0.1432), ('creditor', 0.1367), ('property', 0.1324), ('chapter', 0.1306), ('redemption', 0.0169), ('content', 0.0169), ('reading', 0.0169), ('icon', 0.0169)]"
26,n-1&n+1,page_Rank,"[('bankruptcy', 0.0259), ('debtor', 0.0162), ('creditor', 0.0115), ('chapter', 0.0108), ('may', 0.0108), ('property', 0.0099), ('redemption', 0.0002), ('content', 0.0002), ('reading', 0.0002), ('icon', 0.0002)]"
27,n-1&n+1,in closeness,"[('bankruptcy', 0.4904), ('debtor', 0.4476), ('may', 0.4277), ('case', 0.4246), ('creditor', 0.4224), ('property', 0.4196), ('redemption', 0.0), ('content', 0.0), ('reading', 0.0), ('icon', 0.0)]"
28,n-1&n+1,out closeness,"[('bankruptcy', 0.4814), ('debtor', 0.4412), ('property', 0.4268), ('case', 0.4242), ('creditor', 0.4191), ('may', 0.4189), ('redemption', 0.0), ('content', 0.0), ('reading', 0.0), ('icon', 0.0)]"
29,n-1&n+1,betweenness,"[('bankruptcy', 0.3081), ('debtor', 0.1358), ('creditor', 0.0924), ('may', 0.0794), ('property', 0.0687), ('state', 0.0627), ('investment', 0.0), ('structure', 0.0), ('actual', 0.0), ('inc', 0.0)]"
30,n-2&n+2,in_degree,"[('bankruptcy', 0.2824), ('debtor', 0.1756), ('case', 0.1257), ('creditor', 0.1248), ('may', 0.1228), ('state', 0.1178), ('redemption', 0.0), ('content', 0.0), ('reading', 0.0), ('icon', 0.0)]"
31,n-2&n+2,out_degree,"[('bankruptcy', 0.2894), ('debtor', 0.1806), ('creditor', 0.1307), ('case', 0.1277), ('may', 0.1218), ('property', 0.1158), ('redemption', 0.0), ('content', 0.0), ('reading', 0.0), ('icon', 0.0)]"
32,n-2&n+2,left_eigen,"[('bankruptcy', 0.3324), ('debtor', 0.2393), ('case', 0.2052), ('may', 0.1827), ('chapter', 0.1809), ('state', 0.1706), ('redemption', 0.0), ('content', 0.0), ('reading', 0.0), ('icon', 0.0)]"
33,n-2&n+2,right_eigen,"[('bankruptcy', 0.3404), ('debtor', 0.2395), ('case', 0.2052), ('may', 0.1841), ('chapter', 0.1792), ('property', 0.1719), ('redemption', 0.0), ('content', 0.0), ('reading', 0.0), ('icon', 0.0)]"
34,n-2&n+2,left_katz,"[('bankruptcy', 0.3231), ('debtor', 0.2311), ('case', 0.1964), ('may', 0.1767), ('chapter', 0.1741), ('state', 0.1652), ('redemption', 0.0028), ('content', 0.0028), ('reading', 0.0028), ('icon', 0.0028)]"
35,n-2&n+2,right_kstz,"[('bankruptcy', 0.3307), ('debtor', 0.2318), ('case', 0.1964), ('may', 0.1777), ('chapter', 0.1722), ('property', 0.1664), ('redemption', 0.0028), ('content', 0.0028), ('reading', 0.0028), ('icon', 0.0028)]"
36,n-2&n+2,page_Rank,"[('bankruptcy', 0.0249), ('debtor', 0.0153), ('state', 0.0106), ('may', 0.0105), ('creditor', 0.0104), ('case', 0.0103), ('redemption', 0.0002), ('content', 0.0002), ('reading', 0.0002), ('icon', 0.0002)]"
37,n-2&n+2,in closeness,"[('bankruptcy', 0.5566), ('debtor', 0.5025), ('case', 0.4846), ('may', 0.4811), ('property', 0.4761), ('chapter', 0.4711), ('redemption', 0.0), ('content', 0.0), ('reading', 0.0), ('icon', 0.0)]"
38,n-2&n+2,out closeness,"[('bankruptcy', 0.5566), ('debtor', 0.5028), ('case', 0.4835), ('may', 0.4811), ('property', 0.4784), ('creditor', 0.4742), ('redemption', 0.0), ('content', 0.0), ('reading', 0.0), ('icon', 0.0)]"
39,n-2&n+2,betweenness,"[('bankruptcy', 0.2822), ('debtor', 0.1221), ('creditor', 0.0748), ('may', 0.0711), ('state', 0.0596), ('property', 0.0568), ('investment', 0.0), ('structure', 0.0), ('actual', 0.0), ('inc', 0.0)]"
